Verb,Type,Base,Past,Frequency
group,Regular,grUp,grUpt,M
grow,Irregular,grO,grU,M
guard,Regular,gard,garded,L
hand,Regular,hand,handed,M
hang,Irregular,haN,h*N,M
head,Regular,hed,heded,M
hear,Irregular,hEr,herd,M
help,Regular,help,helpt,M
hide,Irregular,hId,hid,M
hit,Irregular,hit,hit,M
hold,Irregular,hOld,held,M
hug,Regular,h*g,h*gd,L
keep,Irregular,kEp,kept,M
kid,Regular,kid,kided,L
know,Irregular,nO,nU,M
land,Regular,land,landed,M
lead,Irregular,lEd,led,M
leave,Irregular,lEv,left,M
lend,Irregular,lend,lent,L
light,Irregular,lIt,lit,M
lose,Irregular,lUz,lost,M
love,Regular,l*v,l*vd,M
mail,Regular,mAl,mAld,L
map,Regular,map,mapt,L
mate,Regular,mAt,mAted,L
mean,Irregular,mEn,ment,M
meet,Irregular,mEt,met,M
meet,Irregular,mEt,met,M
melt,Regular,melt,melted,M
mind,Regular,mInd,mInded,M
mislead,Irregular,mislEd,misled,M
miss,Regular,mis,mist,M
need,Regular,nid,nided,M
number,Regular,n*mber,n*mberd,M
open,Regular,Open,Opend,M
order,Regular,order,orderd,M
own,Regular,On,Ond,M
party,Regular,partE,partEd,M
pat,Regular,pat,pated,M
place,Regular,plAs,plAst,M
plan,Regular,plan,pland,M
play,Regular,plA,plAd,M
point,Regular,pont,ponted,M
position,Regular,p*ziS*n,p*ziS*nd,M
power,Regular,pWr,pWrd,M
present,Regular,prezent,prezented,M
program,Regular,prOgram,prOgramd,M
provide,Regular,prOvId,prOvIded,M
put,Irregular,p*t,p*t,M
question,Regular,kwesC*n,kwesC*nd,M
rate,Regular,rAt,rAted,M
read,Irregular,rEd,red,M
reason,Regular,rEz*n,rEz*nd,M
result,Regular,rez*lt,rez*lted,M
ride,Irregular,rId,rOd,M
ring,Irregular,riN,raN,M
rise,Irregular,rIz,rOz,M
run,Irregular,r*n,ran,M
say,Irregular,sA,sed,M
see,Irregular,sE,so,M
seek,Irregular,sEk,sot,M
seem,Regular,sEm,sEmd,M
sell,Irregular,sel,sOld,M
send,Irregular,send,sent,M
sense,Regular,sens,senst,M
service,Regular,servis,servist,M
set,Irregular,set,set,M
shake,Irregular,Sak,Suk,M
shape,Regular,SAp,SApt,L
shoot,Irregular,Sut,Sot,M
show,Regular,SO,SOd,M
sing,Irregular,siN,saN,M
sip,Regular,sip,sipt,L
sit,Irregular,sit,sat,M
sleep,Irregular,slEp,slept,M
slip,Regular,slip,slipt,L
smile,Regular,smIl,smIld,M
smoke,Regular,smOk,smOkt,L
snap,Regular,snap,snapt,L
sound,Regular,sWnd,sWnded,M
speak,Irregular,spEk,spOk,M
spend,Irregular,spend,spent,M
spread,Irregular,spred,spred,M
squat,Regular,skwot,skwoted,L
stand,Irregular,stand,stUd,M
state,Regular,stAt,stAted,M
step,Regular,step,stept,L
stick,Irregular,stik,st*k,L
strike,Irregular,strIk,str*k,M
study,Regular,st*dE,st*dEd,M
surface,Regular,serfis,serfist,M
sweep,Irregular,swEp,swept,M
swim,Irregular,swim,swam,M
swing,Irregular,swiN,swaN,M
teach,Irregular,tEC,tot,M
tear,Irregular,tAr,tor,L
tell,Irregular,tel,tOld,M
think,Irregular,TiNk,Tot,M
throw,Irregular,DrO,DrU,M
thrust,Irregular,Trust,Trust,L
time,Regular,tIm,tImd,M
tour,Regular,tor,tord,L
turn,Regular,tern,ternd,M
type,Regular,tIp,tIpt,L
understand,Irregular,*nderstand,*nderstUd,M
unite,Regular,UnIt,UnIted,M
use,Regular,Uz,Uzd,M
value,Regular,valU,valUd,M
voice,Regular,vos,vost,M
walk,Regular,wok,wokt,M
want,Regular,w*nt,w*nted,M
war,Regular,wor,word,M
water,Regular,woder,wodered,M
wear,Irregular,wAr,wor,M
weep,Irregular,wEp,wept,L
wind,Irregular,wInd,wWnd,L
work,Regular,werk,werkt,M
write,Irregular,rIt,rOt,M
